siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 08:00",14
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 08:00",1
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 08:00",0.3
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 08:00",53
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 08:00",26
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 08:00",8
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 09:00",1
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 09:00",0.27
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 09:00",63
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 09:00",29
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 09:00",8
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 09:00",16
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 10:00",33
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 10:00",1
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 10:00",0.28
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 10:00",72
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 10:00",8
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 10:00",19
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 11:00",0.28
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 11:00",19
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 11:00",7
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 11:00",0.8
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 11:00",30
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 11:00",83
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 12:00",0.9
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 12:00",0.28
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 12:00",15
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 12:00",7
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 12:00",32
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 12:00",85
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 13:00",22
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 13:00",0.8
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 13:00",0.27
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 13:00",82
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 13:00",32
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 13:00",6
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 14:00",0.27
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 14:00",0.8
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 14:00",15
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 14:00",6
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 14:00",33
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 14:00",79
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 15:00",15
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 15:00",0.9
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 15:00",0.28
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 15:00",78
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 15:00",34
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 15:00",7
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 16:00",0.7
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 16:00",0.28
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 16:00",69
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 16:00",33
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 16:00",7
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 16:00",20
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 17:00",0.6
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 17:00",11
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 17:00",9
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 17:00",23
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 17:00",49
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 17:00",0.33
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 18:00",24
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 18:00",0.8
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 18:00",0.47
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 18:00",49
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 18:00",34
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 18:00",16
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 19:00",0.48
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 19:00",0.8
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 19:00",17
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 19:00",16
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 19:00",29
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 19:00",41
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 20:00",0.8
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 20:00",0.44
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 20:00",38
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 20:00",27
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 20:00",16
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 20:00",17
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 21:00",1.1
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 21:00",0.44
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 21:00",39
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 21:00",33
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 21:00",16
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 21:00",17
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 22:00",1.3
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 22:00",20
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 22:00",17
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 22:00",37
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 22:00",34
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 22:00",0.48
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 23:00",2.1
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 23:00",21
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 23:00",19
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 23:00",32
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 23:00",29
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 23:00",0.45
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 00:00",2.9
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 00:00",21
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 00:00",17
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 00:00",40
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 00:00",24
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 00:00",0.47
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 01:00",3.3
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 01:00",21
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 01:00",18
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 01:00",34
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 01:00",25
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 01:00",0.43
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 02:00",2.8
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 02:00",0.41
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 02:00",17
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 02:00",38
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 02:00",17
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 02:00",26
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 03:00",34
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 03:00",2.1
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 03:00",0.34
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 03:00",22
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 03:00",15
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 03:00",24
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 04:00",21
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 04:00",36
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 04:00",12
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 04:00",20
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 04:00",1
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 04:00",0.34
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 05:00",0.6
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 05:00",23
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 05:00",25
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 05:00",9
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 05:00",18
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 05:00",0.3
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 06:00",0.34
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 06:00",26
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 06:00",32
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 06:00",0.8
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 06:00",10
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 06:00",16
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 07:00",0.31
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 07:00",11
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 07:00",21
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 07:00",24
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 07:00",1.1
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 07:00",7
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 08:00",0.25
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 08:00",30
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 08:00",15
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 08:00",9
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 08:00",10
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 08:00",1.2
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 09:00",6
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 09:00",0.7
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 09:00",8
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 09:00",21
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 09:00",39
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 09:00",0.21
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 10:00",5
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 10:00",0.8
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 10:00",0.2
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 10:00",44
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 10:00",20
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 10:00",8
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 11:00",8
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 11:00",8
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 11:00",22
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 11:00",52
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 11:00",0.21
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 11:00",0.7
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 12:00",0.18
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 12:00",57
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 12:00",18
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 12:00",6
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 12:00",6
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 12:00",0.6
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 13:00",0.15
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 13:00",57
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 13:00",21
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 13:00",5
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 13:00",3
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 13:00",0.8
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 14:00",0.6
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 14:00",0.16
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 14:00",53
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 14:00",19
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 14:00",5
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 14:00",2
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 15:00",0.6
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 15:00",2
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 15:00",7
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 15:00",13
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 15:00",47
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 15:00",0.18
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 16:00",1
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 16:00",0.3
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 16:00",43
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 16:00",23
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 16:00",12
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 16:00",2
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 17:00",0.9
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 17:00",0.38
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 17:00",48
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 17:00",21
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 17:00",14
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 17:00",8
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 18:00",5
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 18:00",5
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 18:00",11
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 18:00",42
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 18:00",0.28
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 18:00",0.3
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 19:00",0.23
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 19:00",37
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 19:00",3
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 19:00",0.2
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 19:00",10
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 19:00",0
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 20:00",0.4
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 20:00",0.28
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 20:00",31
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 20:00",1
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 20:00",11
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 20:00",1
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 21:00",12
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 21:00",0.4
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 21:00",0.28
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 21:00",29
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 21:00",13
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 21:00",3
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 22:00",4
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 22:00",0.2
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 22:00",0.3
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 22:00",26
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 22:00",9
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 22:00",12
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-04 23:00",4
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-04 23:00",0.3
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-04 23:00",0.32
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-04 23:00",21
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-04 23:00",8
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-04 23:00",15
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-05 00:00",15
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-05 00:00",0.3
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-05 00:00",0.32
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-05 00:00",16
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-05 00:00",11
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-05 00:00",8
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-05 01:00",6
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-05 01:00",1.2
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-05 01:00",0.36
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-05 01:00",11
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-05 01:00",21
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-05 01:00",20
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-05 02:00",0.8
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-05 02:00",0.34
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-05 02:00",13
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-05 02:00",16
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-05 02:00",20
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-05 02:00",5
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-05 03:00",16
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-05 03:00",0.9
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-05 03:00",8
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-05 03:00",18
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-05 03:00",10
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-05 03:00",0.28
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-05 04:00",6
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-05 04:00",0.9
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-05 04:00",0.25
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-05 04:00",14
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-05 04:00",7
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-05 04:00",16
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-05 05:00",17
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-05 05:00",0.22
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-05 05:00",0.1
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-05 05:00",5
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-05 05:00",10
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-05 05:00",5
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-05 06:00",0.2
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-05 06:00",0.21
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-05 06:00",19
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-05 06:00",2
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-05 06:00",11
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-05 06:00",2
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-05 07:00",21
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-05 07:00",0.1
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-05 07:00",0.26
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-05 07:00",1
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-05 07:00",12
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-05 07:00",0
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-05 08:00",0
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-05 08:00",2
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-05 08:00",12
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-05 08:00",2
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-05 08:00",23
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-05 08:00",0.4
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-05 09:00",0.1
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-05 09:00",5
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-05 09:00",15
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-05 09:00",1
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-05 09:00",24
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-05 09:00",0.24
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-05 10:00",0.21
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-05 10:00",0.6
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-05 10:00",0
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-05 10:00",15
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-05 10:00",3
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-05 10:00",25
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-05 11:00",0.27
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-05 11:00",21
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-05 11:00",2
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-05 11:00",18
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-05 11:00",1
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-05 11:00",0.3
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-05 12:00",0.28
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-05 12:00",2
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-05 12:00",16
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-05 12:00",1
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-05 12:00",27
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-05 12:00",0
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-05 13:00",2
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-05 13:00",0.2
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-05 13:00",0.2
