siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 12:00",45
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 12:00",34
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 12:00",x
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 13:00",25
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 13:00",1.2
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 13:00",0.19
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 13:00",36
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 13:00",9
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 13:00",22
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 14:00",0.8
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 14:00",27
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 14:00",8
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 14:00",38
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 14:00",32
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 14:00",0.19
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 15:00",22
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 15:00",1.2
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 15:00",0.24
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 15:00",33
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 15:00",31
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 15:00",9
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 16:00",0.28
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 16:00",1.9
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 16:00",16
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 16:00",9
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 16:00",22
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 16:00",27
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 17:00",2.3
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 17:00",0.23
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 17:00",18
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 17:00",16
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 17:00",11
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 17:00",10
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 18:00",7
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 18:00",0.4
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 18:00",0.25
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 18:00",15
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 18:00",13
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 18:00",9
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 19:00",0.1
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 19:00",9
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 19:00",12
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 19:00",14
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 19:00",13
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 19:00",0.36
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 20:00",17
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 20:00",0.7
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 20:00",0.42
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 20:00",9
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 20:00",25
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 20:00",17
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 21:00",18
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 21:00",21
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 21:00",29
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 21:00",4
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 21:00",0.53
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 21:00",1.2
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 22:00",16
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 22:00",0.39
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 22:00",6
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 22:00",1.7
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 22:00",23
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 22:00",19
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 23:00",3
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 23:00",0.5
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 23:00",0.43
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 23:00",13
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 23:00",20
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 23:00",13
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 00:00",23
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 00:00",1
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 00:00",0.45
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 00:00",11
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 00:00",2
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 00:00",21
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 01:00",14
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 01:00",11
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 01:00",13
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 01:00",18
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 01:00",0.22
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 01:00",0.7
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 02:00",19
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 02:00",0.6
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 02:00",0.36
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 02:00",5
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 02:00",21
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 02:00",17
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 03:00",18
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 03:00",2
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 03:00",0.31
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 03:00",0
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 03:00",26
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 03:00",19
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 04:00",0.27
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 04:00",15
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 04:00",16
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 04:00",26
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 04:00",2
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 04:00",1.1
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 05:00",0.3
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 05:00",0.26
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 05:00",3
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 05:00",21
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 05:00",14
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 05:00",16
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 07:00",0.5
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 07:00",16
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 07:00",14
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 07:00",25
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 07:00",16
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 07:00",0.32
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 08:00",0.3
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 08:00",21
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 08:00",14
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 08:00",35
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 08:00",31
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 08:00",0.35
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 09:00",26
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 09:00",0.2
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 09:00",0.35
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 09:00",x
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 09:00",44
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 09:00",13
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 10:00",0.5
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 10:00",x
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 10:00",x
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 10:00",x
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 10:00",81
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 10:00",0.32
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 11:00",92
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 11:00",31
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 11:00",x
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 11:00",x
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 11:00",43
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 11:00",x
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 12:00",8
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 12:00",0.5
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 12:00",0.26
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 12:00",86
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 12:00",44
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 12:00",25
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 13:00",27
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 13:00",0.9
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 13:00",0.28
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 13:00",87
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 13:00",42
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 13:00",8
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 14:00",7
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 14:00",0.7
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 14:00",0.25
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 14:00",83
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 14:00",46
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 14:00",21
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 15:00",6
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 15:00",0.6
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 15:00",0.23
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 15:00",66
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 15:00",31
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 15:00",20
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 16:00",10
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 16:00",5
